$0	长剑	1	sword	8	12	iron	40	2	3	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
$1	斧	2	axe	3	5	iron	60	1	2	1	0	1	1	1	1	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$2	灯	3	none	0	0	copper	20	3	4	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$3	双手剑	4	twohand	14	16	iron	150	4	59	1	0	1	1	1	1	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
$4	金币	5	none	0	0	gold	0	5	7	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$12	精灵匕首	6	dagger	5	3	mithril	10	33	68	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
$13	欧西斯匕首	7	dagger	3	3	iron	10	34	68	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
$14	亚连	8	axe	4	3	iron	10	8	14	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$16	武士刀	9	sword	10	12	iron	40	58	26	1	0	1	1	1	1	6	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
$17	瑟鲁基之剑	10	sword	16	10	steel	120	112	59	0	0	1	1	1	1	6	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
$20	钉锤	11	axe	6	8	iron	30	68	60	1	0	1	1	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
